Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,0.342859,0.375252,0.339936,0.363408,0.363408,418581325
2023-11-07,0.363293,0.365472,0.335130,0.351571,0.351571,438830911
2023-11-08,0.351583,0.359764,0.349922,0.358350,0.358350,300080444
2023-11-09,0.358323,0.385839,0.352742,0.368335,0.368335,685476982
2023-11-10,0.368388,0.387549,0.364817,0.386210,0.386210,550972799
2023-11-11,0.386226,0.394394,0.371627,0.384564,0.384564,537348711
2023-11-12,0.384544,0.390819,0.373520,0.383383,0.383383,398823705
2023-11-13,0.383414,0.388339,0.355908,0.358415,0.358415,441634462
2023-11-14,0.358315,0.371355,0.344953,0.357870,0.357870,430223143
2023-11-15,0.357882,0.379292,0.354510,0.379292,0.379292,400207664
2023-11-16,0.379283,0.408525,0.362099,0.371766,0.371766,784296833
2023-11-17,0.371791,0.378157,0.355107,0.366609,0.366609,419332542
2023-11-18,0.366795,0.377729,0.351022,0.377694,0.377694,350054655
2023-11-19,0.377688,0.385366,0.370262,0.384525,0.384525,308083348
2023-11-20,0.384529,0.399276,0.379106,0.380682,0.380682,393879761
2023-11-21,0.380713,0.389326,0.357300,0.358631,0.358631,449348189
2023-11-22,0.358470,0.387055,0.357429,0.380660,0.380660,306716799
2023-11-23,0.380676,0.387142,0.378037,0.386675,0.386675,241703105
2023-11-24,0.386695,0.397344,0.384995,0.386213,0.386213,350870124
2023-11-25,0.386220,0.395703,0.385702,0.394811,0.394811,215322275
2023-11-26,0.394788,0.395569,0.381164,0.388185,0.388185,234557830
2023-11-27,0.388113,0.391786,0.372034,0.378359,0.378359,254570208
2023-11-28,0.378341,0.388115,0.370489,0.385624,0.385624,273962828
2023-11-29,0.385633,0.388801,0.378548,0.381776,0.381776,256880751
2023-11-30,0.381803,0.382576,0.372702,0.375895,0.375895,267025029
2023-12-01,0.375891,0.385247,0.374483,0.384202,0.384202,248849205
2023-12-02,0.384204,0.397844,0.383415,0.397798,0.397798,255637811
2023-12-03,0.397821,0.402323,0.388564,0.395155,0.395155,305052507
2023-12-04,0.395192,0.414550,0.394861,0.406811,0.406811,554694756
2023-12-05,0.406820,0.425658,0.397979,0.425658,0.425658,507494057
2023-12-06,0.425606,0.454101,0.418645,0.442406,0.442406,815040059
2023-12-07,0.442458,0.459048,0.434465,0.456432,0.456432,569699700
2023-12-08,0.456428,0.566595,0.453564,0.545921,0.545921,1645334961
2023-12-09,0.545863,0.643024,0.545863,0.578600,0.578600,2566810314
2023-12-10,0.578598,0.613112,0.572163,0.594155,0.594155,1165845170
2023-12-11,0.594038,0.597566,0.524614,0.551021,0.551021,1314283882
2023-12-12,0.551004,0.604387,0.551004,0.576407,0.576407,1221353455
2023-12-13,0.576703,0.674575,0.548660,0.665244,0.665244,1790051002
2023-12-14,0.665505,0.677805,0.624827,0.643478,0.643478,1379685748
2023-12-15,0.643433,0.652071,0.601371,0.601408,0.601408,873847582
2023-12-16,0.601270,0.624473,0.590633,0.607609,0.607609,626131200
2023-12-17,0.607607,0.616340,0.578298,0.580314,0.580314,560320053
2023-12-18,0.580244,0.601033,0.546702,0.601033,0.601033,730352029
2023-12-19,0.601132,0.616213,0.568203,0.576600,0.576600,661906697
2023-12-20,0.576610,0.608804,0.570892,0.589329,0.589329,670750543
2023-12-21,0.589317,0.638403,0.583193,0.636599,0.636599,816345866
2023-12-22,0.636496,0.650267,0.609274,0.624216,0.624216,820661167
2023-12-23,0.624097,0.624097,0.599693,0.614548,0.614548,501680737
2023-12-24,0.614509,0.627077,0.592096,0.593955,0.593955,801864460
2023-12-25,0.593864,0.633577,0.591813,0.625721,0.625721,636249032
2023-12-26,0.625647,0.626426,0.580893,0.608799,0.608799,856384699
2023-12-27,0.608852,0.642868,0.586926,0.633535,0.633535,856202366
2023-12-28,0.633661,0.675450,0.611971,0.617422,0.617422,1241270531
2023-12-29,0.617406,0.625253,0.595948,0.608494,0.608494,731991586
2023-12-30,0.608510,0.612765,0.595186,0.601964,0.601964,396120733
2023-12-31,0.601898,0.609215,0.588333,0.594205,0.594205,413744730
2024-01-01,0.594187,0.623812,0.592739,0.623110,0.623110,397524048
2024-01-02,0.623141,0.636704,0.603568,0.605667,0.605667,607247161
2024-01-03,0.605669,0.617962,0.525139,0.557286,0.557286,1127440527
2024-01-04,0.557277,0.577765,0.552852,0.570567,0.570567,591385300
2024-01-05,0.570543,0.572709,0.526672,0.541242,0.541242,632156325
2024-01-06,0.541309,0.542212,0.509535,0.523103,0.523103,456993353
2024-01-07,0.523169,0.529506,0.490306,0.494174,0.494174,403756656
2024-01-08,0.494223,0.542902,0.468186,0.540936,0.540936,745831623
2024-01-09,0.541072,0.542585,0.498998,0.511527,0.511527,655557451
2024-01-10,0.511591,0.587178,0.494356,0.566647,0.566647,989682776
2024-01-11,0.566617,0.615794,0.562519,0.582179,0.582179,1154998819
2024-01-12,0.582134,0.587702,0.536105,0.547333,0.547333,683350420
2024-01-13,0.547301,0.553008,0.537095,0.549336,0.549336,373150180
2024-01-14,0.549369,0.549566,0.525981,0.525981,0.525981,346165271
2024-01-15,0.525908,0.540546,0.524869,0.528161,0.528161,330276278
2024-01-16,0.528050,0.546019,0.527511,0.535676,0.535676,318265757
2024-01-17,0.535650,0.538775,0.523800,0.527029,0.527029,298718568
2024-01-18,0.527071,0.527249,0.497459,0.501874,0.501874,381732750
2024-01-19,0.501882,0.503305,0.474274,0.503151,0.503151,433001996
2024-01-20,0.503148,0.516822,0.499633,0.515005,0.515005,336655525
2024-01-21,0.515006,0.519567,0.503105,0.503105,0.503105,234978951
2024-01-22,0.503155,0.505089,0.478050,0.478502,0.478502,444335289
2024-01-23,0.478490,0.485338,0.449699,0.476749,0.476749,538390729
2024-01-24,0.476763,0.478956,0.464782,0.476296,0.476296,390187602
2024-01-25,0.476302,0.483024,0.459863,0.466479,0.466479,340646602
2024-01-26,0.466472,0.489616,0.463956,0.485294,0.485294,362190657
2024-01-27,0.485263,0.489547,0.476921,0.486321,0.486321,239780792
2024-01-28,0.486326,0.499554,0.485152,0.489719,0.489719,343442273
2024-01-29,0.489768,0.527302,0.485568,0.525275,0.525275,446796336
2024-01-30,0.525298,0.535742,0.514158,0.514165,0.514165,491907648
2024-01-31,0.514095,0.519219,0.495401,0.498256,0.498256,469078638
2024-02-01,0.498247,0.507340,0.487143,0.507023,0.507023,374171939
2024-02-02,0.507030,0.523469,0.504733,0.513958,0.513958,416712948
2024-02-03,0.513989,0.524477,0.512708,0.512861,0.512861,277537205
2024-02-04,0.512882,0.512882,0.494256,0.494256,0.494256,239201178
2024-02-05,0.494240,0.504766,0.488481,0.493340,0.493340,276562781
